tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0016029,The Little Colonel,The Little Colonel,1935.0,81.0,"Comedy,Family,Musical",nm0124877,"nm0175902,nm0426531,nm0124877",7.1,1314.0
tt0017961,Happiness,Schaste,1935.0,95.0,"Comedy,Drama",nm0575963,nm0575963,7.5,897.0
tt0020298,Queen Kelly,Queen Kelly,1932.0,101.0,Drama,"nm0092915,nm0002233","nm0002233,nm0014703,nm0322227",7.2,3013.0
tt0021079,Little Caesar,Little Caesar,1931.0,79.0,"Action,Crime,Drama",nm0503777,"nm0122446,nm0267020,nm0520501,nm0953123",7.3,11410.0
tt0021309,The Story of the Fox,Le roman de Renard,1937.0,63.0,"Adventure,Animation,Comedy","nm0823089,nm0823088","nm0634113,nm0635163,nm0724858,nm0823089,nm0823088,nm0324473",7.8,1105.0
tt0021331,The Blood of a Poet,Le sang d'un poète,1932.0,55.0,Fantasy,nm0168413,nm0168413,7.4,5673.0
tt0021622,Arrowsmith,Arrowsmith,1931.0,108.0,Drama,nm0000406,"nm0507760,nm0397608",6.2,1398.0
tt0021633,The Bachelor Father,The Bachelor Father,1931.0,90.0,"Comedy,Drama,Romance",nm0502752,"nm0139321,nm0425615,nm0547966",6.5,1035.0
tt0021635,Bad Girl,Bad Girl,1931.0,90.0,"Drama,Romance",nm0097648,"nm0217568,nm0549217,nm0796766",6.5,1023.0
tt0021636,The Bad Sister,The Bad Sister,1931.0,68.0,Drama,nm0377126,"nm0461348,nm0715723,nm0775419,nm0850483",6.3,913.0
tt0021668,The Black Camel,The Black Camel,1931.0,71.0,"Crime,Mystery,Thriller",nm0532187,"nm0081788,nm0822219,nm0175194,nm0458934,nm0629580",6.8,1276.0
tt0021673,Blonde Crazy,Blonde Crazy,1931.0,79.0,"Comedy,Crime,Drama",nm0215877,"nm0321891,nm0109148",7.1,1503.0
tt0021730,The Champ,The Champ,1931.0,86.0,"Drama,Sport",nm0896542,"nm0547966,nm0695292,nm0875746,nm0549905",7.3,2596.0
tt0021739,La Chienne,La chienne,1931.0,91.0,"Crime,Drama",nm0719756,"nm0478579,nm0719756,nm0320630,nm0610207",7.6,3499.0
tt0021746,Cimarron,Cimarron,1931.0,123.0,"Drama,Western",nm0749484,"nm0272209,nm0261455,nm0765037",5.9,5117.0
tt0021749,City Lights,City Lights,1931.0,87.0,"Comedy,Drama,Romance",nm0000122,"nm0000122,nm0139714,nm0188357",8.5,157920.0
tt0021750,City Streets,City Streets,1931.0,83.0,"Crime,Drama,Film-Noir",nm0541149,"nm0358591,nm0545730,nm0308177",7.1,1214.0
tt0021778,"Dance, Fools, Dance","Dance, Fools, Dance",1931.0,80.0,"Crime,Drama,Romance",nm0064600,"nm0746168,nm0001076",6.2,767.0
tt0021780,Just a Gigolo,Just a Gigolo,1931.0,66.0,"Comedy,Romance",nm0176699,"nm0257040,nm0345102,nm0369038,nm0369036,nm0473134,nm0770337,nm0921995",6.2,833.0
tt0021800,Dishonored,Dishonored,1931.0,91.0,"Drama,Romance,War",nm0903049,"nm0748034,nm0903049",7.3,1949.0
tt0021814,Dracula,Dracula,1931.0,75.0,"Fantasy,Horror","nm0115218,nm0005713","nm0831290,nm0213019,nm0049721,nm0287124,nm0111313,nm0115218,nm0169606,nm0614225,nm0826873,nm0828574",7.5,43921.0
tt0021815,Drácula,Drácula,1931.0,104.0,"Fantasy,Horror","nm0577654,nm0869801","nm0831290,nm0273239,nm0049721,nm0213019,nm0287124,nm0614225",7.2,3836.0
tt0021818,The 3 Penny Opera,Die 3 Groschen-Oper,1931.0,112.0,"Comedy,Drama,Musical",nm0655065,"nm0106517,nm0486797,nm0883335,nm0051354",7.3,1894.0
tt0021873,Five Star Final,Five Star Final,1931.0,89.0,"Crime,Drama",nm0503777,"nm0919380,nm0604526,nm0520501",7.2,1661.0
tt0021874,Five and Ten,Five and Ten,1931.0,89.0,"Drama,Romance",nm0502752,"nm0403595,nm0950224",6.3,1259.0
tt0021884,Frankenstein,Frankenstein,1931.0,70.0,"Drama,Horror,Sci-Fi",nm0001843,"nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246",7.8,61941.0
tt0021885,A Free Soul,A Free Soul,1931.0,93.0,"Crime,Drama,Romance",nm0113284,"nm0820700,nm0306731,nm0242957,nm0267913,nm0528351,nm0533102",6.7,2141.0
tt0021890,The Front Page,The Front Page,1931.0,101.0,Comedy,nm0587277,"nm0372942,nm0531269,nm0179993,nm0496468",6.7,2232.0
tt0021906,Gentleman's Fate,Gentleman's Fate,1931.0,90.0,"Crime,Drama",nm0503777,"nm0663624,nm0695292",6.4,713.0
tt0021985,"Hyppolit, the Butler",Hyppolit a lakáj,1931.0,72.0,Comedy,nm0782804,"nm0639130,nm0951866",7.8,1367.0
tt0021992,Illicit,Illicit,1931.0,79.0,"Drama,Romance",nm0562845,"nm0280223,nm0728307,nm0857710",6.2,805.0
tt0022000,Indiscreet,Indiscreet,1931.0,92.0,"Comedy,Drama,Musical",nm0564970,"nm0221865,nm0114095,nm0376575,nm0564970",6.3,1304.0
tt0022017,Comradeship,Kameradschaft,1931.0,93.0,Drama,nm0655065,"nm3673346,nm0353035,nm0483849,nm0653118,nm0710888,nm0883335,nm3673289",7.5,1178.0
tt0022054,The Last Flight,The Last Flight,1931.0,76.0,Drama,nm0226189,nm0766850,6.8,1204.0
tt0022074,The Smiling Lieutenant,The Smiling Lieutenant,1931.0,93.0,"Comedy,Musical,Romance",nm0523932,"nm0414885,nm0233791,nm0618169,nm0883328,nm0710723,nm0523932,nm1250333",7.2,3083.0
tt0022080,Limite,Limite,1931.0,114.0,"Drama,Romance",nm0670643,nm0670643,7.3,1708.0
tt0022100,M,M - Eine Stadt sucht einen Mörder,1931.0,117.0,"Crime,Mystery,Thriller",nm0000485,"nm0902376,nm0000485,nm0414825",8.3,135724.0
tt0022111,The Maltese Falcon,The Maltese Falcon,1931.0,80.0,"Crime,Drama,Film-Noir",nm0215877,"nm0358591,nm0298494,nm0391763,nm0399203",6.9,2649.0
tt0022125,Marius,Marius,1931.0,130.0,"Comedy,Drama,Romance",nm0466099,nm0656528,7.9,1893.0
tt0022150,Le Million,Le million,1931.0,81.0,"Comedy,Musical",nm0163229,"nm0077278,nm0163229,nm0347058",7.4,3069.0
tt0022153,The Miracle Woman,The Miracle Woman,1931.0,90.0,"Drama,Romance",nm0001008,"nm0842485,nm0576046,nm0728307,nm0397963",7.2,1770.0
tt0022158,Monkey Business,Monkey Business,1931.0,77.0,"Comedy,Musical",nm0572851,"nm0673279,nm0426953,nm0790654,nm0790383,nm5030661",7.5,10912.0
tt0022183,Mädchen in Uniform,Mädchen in Uniform,1931.0,88.0,"Drama,Romance","nm0296193,nm0755985","nm0935475,nm0198887,nm0171372",7.6,2248.0
tt0022208,Night Nurse,Night Nurse,1931.0,72.0,"Comedy,Crime,Drama",nm0920074,"nm0673948,nm0308177,nm0448981",7.1,3144.0
tt0022236,Other Men's Women,Other Men's Women,1931.0,71.0,"Drama,Romance",nm0920074,"nm0298494,nm0920465",6.6,1045.0
tt0022251,Pardon Us,Pardon Us,1931.0,56.0,"Comedy,Crime,Drama",nm0663613,"nm0907778,nm0491048",7.0,2081.0
tt0022254,"Parlor, Bedroom and Bath","Parlor, Bedroom and Bath",1931.0,73.0,Comedy,nm0781292,"nm0068087,nm0841608,nm0394267",6.1,739.0
tt0022264,The Phantom of Paris,The Phantom of Paris,1931.0,74.0,"Drama,Thriller",nm0731910,"nm0503693,nm0562372,nm0576046",6.5,1261.0
tt0022268,Platinum Blonde,Platinum Blonde,1931.0,89.0,"Comedy,Romance",nm0001008,"nm0151310,nm0161428,nm0728307,nm0842485,nm0397963",6.9,2679.0
tt0022276,Possessed,Possessed,1931.0,76.0,"Drama,Romance",nm0113284,"nm0783629,nm0168829",6.9,1588.0
tt0022279,Private Lives,Private Lives,1931.0,84.0,"Comedy,Drama,Romance",nm0291548,"nm0002021,nm0473134,nm0770337,nm0921995",6.8,1009.0
tt0022286,The Public Enemy,The Public Enemy,1931.0,83.0,"Crime,Drama",nm0920074,"nm0321891,nm0109148,nm0857710",7.7,16890.0
tt0022335,Safe in Hell,Safe in Hell,1931.0,73.0,"Crime,Drama",nm0920074,"nm0104355,nm0413711,nm0298494",7.0,1123.0
tt0022357,The Secret 6,The Secret 6,1931.0,83.0,"Crime,Drama",nm0384276,nm0547966,6.3,711.0
tt0022386,The Sin of Madelon Claudet,The Sin of Madelon Claudet,1931.0,75.0,Drama,nm0783629,"nm0461241,nm0372942",6.7,757.0
tt0022395,The Skin Game,The Skin Game,1931.0,85.0,Drama,nm0000033,"nm0303335,nm0000033,nm0720904",5.8,2724.0
tt0022397,Skippy,Skippy,1931.0,85.0,"Comedy,Drama,Family",nm0851537,"nm0189034,nm0000581,nm0549905,nm0572851,nm0591791",6.3,649.0
tt0022403,Smart Money,Smart Money,1931.0,81.0,"Crime,Drama",nm0337586,"nm0321891,nm0109148,nm0399203,nm0413711",6.8,1629.0
tt0022436,Street Scene,Street Scene,1931.0,80.0,"Drama,Romance",nm0896542,nm0723418,7.6,1429.0
tt0022453,Susan Lenox (Her Fall and Rise),Susan Lenox (Her Fall and Rise),1931.0,76.0,"Drama,Romance",nm0502752,"nm0075960,nm0168829,nm0186118,nm0280223,nm0306731,nm0330390,nm0446403,nm0545309,nm0548403,nm0680345,nm0780803,nm0875746,nm0892045,nm0896542",6.4,1050.0
tt0022454,Svengali,Svengali,1931.0,81.0,"Drama,Horror,Romance",nm0562845,"nm0238900,nm0018470",6.8,1646.0
tt0022458,Tabu: A Story of the South Seas,Tabu: A Story of the South Seas,1931.0,86.0,"Adventure,Drama,Romance",nm0003638,"nm0003638,nm0280904,nm0880618",7.5,4714.0
tt0022469,Ten Cents a Dance,Ten Cents a Dance,1931.0,75.0,"Crime,Drama,Romance","nm0000859,nm0125636","nm0842485,nm0397963,nm0006256,nm0366414",6.6,637.0
tt0022485,Tokyo Chorus,Tôkyô no kôrasu,1931.0,90.0,"Comedy,Drama",nm0654868,"nm0457560,nm0633792",7.3,1178.0
tt0022489,Tonight or Never,Tonight or Never,1931.0,80.0,"Comedy,Romance",nm0503777,"nm0369036,nm0369038,nm0369093,nm0883328",6.5,1298.0
tt0022495,Trader Horn,Trader Horn,1931.0,122.0,"Action,Adventure,Drama",nm0886754,"nm0507180,nm0886861,nm0627454,nm0770337,nm0401738,nm0394791",6.2,849.0
tt0022550,Waterloo Bridge,Waterloo Bridge,1931.0,81.0,"Drama,Romance",nm0001843,"nm0792845,nm0506349,nm0715723",7.5,2364.0
tt0022599,À Nous la Liberté,À nous la liberté,1931.0,104.0,"Comedy,Musical",nm0163229,nm0163229,7.5,3911.0
tt0022626,American Madness,American Madness,1932.0,75.0,Drama,"nm0245385,nm0001008,nm0624756",nm0728307,7.4,1742.0
tt0022628,The Animal Kingdom,The Animal Kingdom,1932.0,85.0,"Comedy,Drama,Romance","nm0341486,nm0002030","nm0413590,nm0058129,nm0341486,nm0820700",6.4,901.0
tt0022639,Arsène Lupin,Arsène Lupin,1932.0,84.0,"Crime,Mystery,Romance",nm0176699,"nm0495728,nm0188544,nm0168829,nm0892045,nm0933133",6.9,908.0
tt0022660,The Beast of the City,The Beast of the City,1932.0,86.0,"Crime,Drama,Film-Noir",nm0102643,"nm0122446,nm0372942",6.7,1045.0
tt0022685,A Bill of Divorcement,A Bill of Divorcement,1932.0,70.0,Drama,nm0002030,"nm0261455,nm0340799,nm0199304",6.5,1421.0
tt0022689,Bird of Paradise,Bird of Paradise,1932.0,80.0,"Adventure,Drama,Romance",nm0896542,"nm0876445,nm0740537,nm0875746,nm0695292",6.1,995.0
tt0022694,The Blue Light,Das blaue Licht - Eine Berglegende aus den Dolomiten,1932.0,85.0,"Drama,Fantasy,Mystery","nm0726166,nm0051354","nm0051354,nm0562346,nm2446045,nm0726166",6.8,1083.0
tt0022698,Blonde Venus,Blonde Venus,1932.0,93.0,Drama,nm0903049,"nm0299154,nm0491076,nm0903049",7.1,4118.0
tt0022700,Blondie of the Follies,Blondie of the Follies,1932.0,91.0,"Comedy,Musical",nm0332539,"nm0547966,nm0002616,nm0817809",6.5,1070.0
tt0022718,Boudu Saved from Drowning,Boudu sauvé des eaux,1932.0,85.0,Comedy,nm0719756,"nm0268988,nm0719756,nm0884152",7.4,4920.0
tt0022725,Broken Lullaby,Broken Lullaby,1932.0,76.0,Drama,nm0523932,"nm0744565,nm0075351,nm0710723,nm0883328",7.6,815.0
tt0022735,The Cabin in the Cotton,The Cabin in the Cotton,1932.0,78.0,Drama,nm0002031,"nm0338233,nm0472049",6.8,1390.0
tt0022753,Chandu the Magician,Chandu the Magician,1932.0,71.0,"Action,Adventure,Comedy","nm0580017,nm0890085","nm0175194,nm0458934,nm0247440,nm0646163,nm0604959,nm0093397,nm0454513,nm0781895",6.3,851.0
tt0022775,Frisco Jenny,Frisco Jenny,1932.0,73.0,"Crime,Drama,Music",nm0920074,"nm0594594,nm0520501,nm0064595,nm0371771,nm0488295",6.9,868.0
tt0022787,Wooden Crosses,Les croix de bois,1932.0,115.0,"Drama,War",nm0076368,"nm0076368,nm0233593,nm0485676",7.7,1147.0
tt0022792,The Crowd Roars,The Crowd Roars,1932.0,85.0,"Action,Drama,Sport",nm0001328,"nm0109148,nm0124002,nm0321891,nm0001328,nm0589316",6.2,992.0
tt0022802,The Dark Horse,The Dark Horse,1932.0,75.0,Comedy,nm0337586,"nm0413711,nm0594594,nm0855850,nm0953123",7.0,939.0
tt0022827,Doctor X,Doctor X,1932.0,76.0,"Comedy,Crime,Horror",nm0002031,"nm0850927,nm0049898,nm0174106,nm0587867,nm0742523",6.4,2624.0
tt0022834,Downstairs,Downstairs,1932.0,77.0,"Drama,Romance",nm0068419,"nm0318105,nm0168829,nm0048758",6.7,1580.0
tt0022835,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,1931.0,98.0,"Horror,Sci-Fi",nm0541149,"nm0388755,nm0372698,nm0829044",7.6,11968.0
tt0022854,Emma,Emma,1932.0,72.0,Drama,nm0113284,"nm0547966,nm0695292,nm0780803",7.0,868.0
tt0022867,Ecstasy,Ekstase,1933.0,82.0,"Drama,Romance",nm0532561,"nm0394750,nm0394746,nm0462949,nm0532561",6.7,2038.0
tt0022877,Fanny,Fanny,1932.0,140.0,"Comedy,Drama",nm0002165,nm0656528,7.7,1444.0
tt0022879,A Farewell to Arms,A Farewell to Arms,1932.0,80.0,"Drama,Romance,War",nm0097648,"nm0322227,nm0308177,nm0002133,nm0821716",6.5,4786.0
tt0022905,Forbidden,Forbidden,1932.0,85.0,"Drama,Romance",nm0001008,"nm0001008,nm0842485",6.9,1258.0
tt0022913,Freaks,Freaks,1932.0,64.0,"Drama,Horror",nm0115218,"nm0730317,nm0325135,nm0330390,nm0090213,nm0531269,nm0941138",7.9,40287.0
tt0022958,Grand Hotel,Grand Hotel,1932.0,112.0,"Drama,Romance",nm0332539,"nm0062139,nm0237033,nm0051354,nm0941138",7.4,16504.0
tt0022991,Hell's House,Hell's House,1932.0,72.0,Drama,nm0383304,"nm0383304,nm0304321,nm0649913",6.0,981.0
tt0023027,Horse Feathers,Horse Feathers,1932.0,68.0,"Comedy,Musical,Romance",nm0572851,"nm0436095,nm0748438,nm0673279,nm0426953,nm0790654",7.6,11285.0
tt0023028,Hot Saturday,Hot Saturday,1932.0,73.0,"Drama,Romance",nm0782682,"nm0589316,nm0522674,nm0545309,nm0272646",6.6,866.0
tt0023042,I Am a Fugitive from a Chain Gang,I Am a Fugitive from a Chain Gang,1932.0,92.0,"Crime,Drama,Film-Noir",nm0503777,"nm0122859,nm0337914,nm0391763,nm0316807",8.2,11117.0
tt0023049,If I Had a Million,If I Had a Million,1932.0,88.0,"Comedy,Drama","nm0190516,nm0401680,nm0523932,nm0572851,nm0578985,nm0731596,nm0782682,nm0851537","nm0028826,nm0083125,nm0093456,nm0102167,nm0109148,nm0118227,nm0170660,nm0206010,nm0214668,nm0308177,nm0309567,nm0523932,nm0533110,nm0000581,nm0574112,nm0817035,nm0428177",7.0,1535.0
tt0023074,Jewel Robbery,Jewel Robbery,1932.0,68.0,"Comedy,Crime,Romance",nm0226189,"nm0312510,nm0283780,nm0088602",7.3,1681.0
tt0023101,Kongo,Kongo,1932.0,86.0,"Drama,Horror",nm0184738,"nm0330390,nm0212240,nm0330370",6.6,800.0
tt0023158,Love Me Tonight,Love Me Tonight,1932.0,104.0,"Comedy,Musical,Romance",nm0541149,"nm0388755,nm0547938,nm0950150,nm0545401,nm0035552",7.6,3434.0
tt0023181,The Man Who Played God,The Man Who Played God,1932.0,80.0,"Drama,Romance",nm0012317,"nm0329136,nm0606563,nm0430756,nm0398021",7.1,870.0
tt0023194,The Mask of Fu Manchu,The Mask of Fu Manchu,1932.0,68.0,"Adventure,Horror,Sci-Fi","nm0102643,nm0896533","nm0474114,nm0941138,nm0929616,nm0737544",6.3,2896.0
tt0023196,Mata Hari,Mata Hari,1931.0,89.0,"Crime,Drama,Romance",nm0280463,"nm0322227,nm0083532,nm0026639,nm0256298",6.6,3144.0
tt0023202,Me and My Gal,Me and My Gal,1932.0,79.0,"Comedy,Drama,Romance",nm0909825,"nm0458934,nm0175194,nm0462111,nm0169879,nm0230776,nm0242897,nm0896533",6.6,803.0
tt0023225,Million Dollar Legs,Million Dollar Legs,1932.0,64.0,"Comedy,Sport",nm0166836,"nm0000581,nm0616730,nm0057897,nm0372942",6.9,1015.0
tt0023236,The Monster Walks,The Monster Walks,1932.0,63.0,"Horror,Mystery",nm0833965,nm0000252,4.1,776.0
tt0023238,The Most Dangerous Game,The Most Dangerous Game,1932.0,63.0,"Action,Adventure,Thriller","nm0681635,nm0774325","nm0187256,nm0175028",7.2,9834.0
tt0023241,Movie Crazy,Movie Crazy,1932.0,84.0,"Comedy,Family,Romance","nm0115669,nm0516001","nm0493071,nm0426515,nm0340599,nm0012148,nm0124290,nm0516001",7.2,1292.0
tt0023245,The Mummy,The Mummy,1932.0,73.0,"Fantasy,Horror",nm0005713,"nm0701233,nm0770337,nm0049721",7.1,22142.0
tt0023249,Murders in the Rue Morgue,Murders in the Rue Morgue,1932.0,61.0,"Crime,Horror,Mystery",nm0282984,"nm0000590,nm0282984,nm0715723,nm0886861,nm0001379,nm0446381",6.4,3522.0
tt0023277,No Man of Her Own,No Man of Her Own,1932.0,85.0,"Drama,Romance",nm0749484,"nm0914362,nm0343228,nm0332539,nm0322227,nm0507932",6.6,984.0
tt0023285,Number 17,Number Seventeen,1932.0,66.0,"Crime,Mystery,Thriller",nm0000033,"nm0267537,nm0720904,nm0000033,nm0010063",5.8,4257.0
tt0023293,The Old Dark House,The Old Dark House,1932.0,72.0,"Comedy,Horror,Thriller",nm0001843,"nm0697362,nm0506349,nm0792670",7.1,8566.0
tt0023303,One Hour with You,One Hour with You,1932.0,78.0,"Comedy,Musical,Romance","nm0523932,nm0002030","nm0773083,nm0710723,nm0545401",7.2,2010.0
tt0023305,One Way Passage,One Way Passage,1932.0,67.0,"Comedy,Drama,Romance",nm0307819,"nm0594594,nm0413711,nm0520501,nm0307819",7.5,3242.0
tt0023312,Pack Up Your Troubles,Pack Up Your Troubles,1932.0,68.0,"Comedy,War","nm0550892,nm0564971,nm0085295,nm0294137","nm0907778,nm0491048,nm0564971",7.3,1964.0
tt0023327,Penguin Pool Murder,Penguin Pool Murder,1932.0,70.0,"Comedy,Drama,Mystery",nm0002179,"nm0325135,nm0658457,nm0107614",7.0,981.0
tt0023349,Polly of the Circus,Polly of the Circus,1932.0,69.0,"Comedy,Drama,Romance",nm0763453,"nm0562892,nm0933133,nm0425615,nm0164859,nm0580648",6.3,1041.0
tt0023362,The Purchase Price,The Purchase Price,1932.0,68.0,"Comedy,Drama",nm0920074,"nm0834553,nm0520501",6.4,1341.0
tt0023369,Rain,Rain,1932.0,94.0,Drama,nm0587277,"nm0173303,nm0709888,nm0560857,nm0027173",6.9,2260.0
tt0023374,Rasputin and the Empress,Rasputin and the Empress,1932.0,121.0,"Biography,Drama,History","nm0092915,nm0102643","nm0531269,nm0168829,nm0173303,nm0372942,nm0405156,nm0536941,nm0576046,nm0707213,nm0792845,nm0821716,nm0837989,nm0933133,nm1303941",6.6,857.0
tt0023382,Red Dust,Red Dust,1932.0,83.0,"Drama,Romance",nm0281808,"nm0536941,nm0172812,nm0829330",7.3,3649.0
tt0023385,Red-Headed Woman,Red-Headed Woman,1932.0,79.0,"Comedy,Romance",nm0176699,"nm0116693,nm0270765,nm0280234,nm0002616,nm0580648,nm0837989",7.0,2586.0
tt0023394,The Rich Are Always with Us,The Rich Are Always with Us,1932.0,71.0,"Comedy,Drama,Romance",nm0337586,"nm0678723,nm0662059",6.5,847.0
tt0023395,East of Shanghai,Rich and Strange,1931.0,92.0,"Comedy,Drama,Romance",nm0000033,"nm0172246,nm0000033,nm0720904,nm0884318",5.8,3825.0
tt0023427,Scarface,Scarface: The Shame of the Nation,1932.0,93.0,"Action,Crime,Drama","nm0744514,nm0001328","nm0870660,nm0372942,nm0589316,nm0536941,nm0122446,nm0001328,nm0664646",7.8,24090.0
tt0023458,Shanghai Express,Shanghai Express,1932.0,82.0,"Adventure,Drama,Romance",nm0903049,"nm0299154,nm0381152",7.3,7043.0
tt0023470,The Sign of the Cross,The Sign of the Cross,1932.0,108.0,"Drama,History",nm0001124,"nm0950150,nm0118227,nm0057316,nm0629580,nm0797197",6.9,1880.0
tt0023488,Smilin' Through,Smilin' Through,1932.0,98.0,"Drama,Romance",nm0291548,"nm0049721,nm0184785,nm0265023,nm0547966,nm0576046,nm0613848,nm0829330,nm0883328,nm0921995",6.9,1036.0
tt0023491,So Big!,So Big!,1932.0,81.0,"Drama,Romance",nm0920074,"nm0272209,nm0018470,nm0520501",6.9,1345.0
tt0023498,Speak Easily,Speak Easily,1932.0,82.0,Comedy,nm0781292,nm0445502,5.9,814.0
tt0023551,Tarzan the Ape Man,Tarzan the Ape Man,1932.0,100.0,"Action,Adventure,Romance",nm0886754,"nm0123194,nm0401738,nm0637040",7.0,6717.0
tt0023556,Taxi,Taxi,1931.0,69.0,"Crime,Drama,Romance",nm0215877,"nm0629862,nm0321891,nm0109148",6.7,1105.0
tt0023563,The Testament of Dr. Mabuse,Das Testament des Dr. Mabuse,1933.0,122.0,"Crime,Horror,Mystery","nm0829954,nm0000485","nm0415167,nm0000485,nm0829954,nm0902376",8.0,10938.0
tt0023582,Thirteen Women,Thirteen Women,1932.0,73.0,"Drama,Horror,Mystery",nm0002179,"nm0857230,nm0179993,nm0650338",6.3,1049.0
tt0023590,Three on a Match,Three on a Match,1932.0,63.0,"Crime,Drama,Romance",nm0503777,"nm0399203,nm0321891,nm0109148",7.2,3164.0
tt0023622,Trouble in Paradise,Trouble in Paradise,1932.0,83.0,"Comedy,Crime,Romance",nm0523932,"nm0710723,nm0428177,nm0015801",8.0,12250.0
tt0023629,Two Seconds,Two Seconds,1932.0,67.0,"Drama,Thriller",nm0503777,"nm0504443,nm0857710",6.9,845.0
tt0023634,"I Was Born, But...",Otona no miru ehon - Umarete wa mita keredo,1932.0,100.0,"Comedy,Drama",nm0654868,"nm0299343,nm0406601,nm0654868",8.0,4582.0
tt0023649,Vampyr,Vampyr,1932.0,75.0,"Fantasy,Horror",nm0003433,"nm0494257,nm0432143,nm0003433",7.6,14792.0
tt0023686,What Price Hollywood?,What Price Hollywood?,1932.0,88.0,Drama,nm0002030,"nm0288706,nm0114602,nm0820700,nm0613848,nm0548993,nm0696190,nm0729694,nm0828574",7.1,2052.0
tt0023694,White Zombie,White Zombie,1932.0,69.0,Horror,nm0356931,"nm0922951,nm2690196",6.3,8810.0
tt0023731,"20,000 Years in Sing Sing","20,000 Years in Sing Sing",1932.0,78.0,"Crime,Drama,Film-Noir",nm0002031,"nm0492431,nm0594594,nm0391763,nm0855850,nm0520501",6.9,2269.0
tt0023753,Alice in Wonderland,Alice in Wonderland,1933.0,76.0,"Adventure,Family,Fantasy","nm0363414,nm0572851,nm0411208","nm0000581,nm0580017,nm0140902",6.4,1809.0
tt0023775,Baby Face,Baby Face,1933.0,71.0,"Drama,Romance",nm0337586,"nm0548403,nm0778636,nm0953123",7.6,5890.0
tt0023814,The Bitter Tea of General Yen,The Bitter Tea of General Yen,1932.0,88.0,"Drama,Romance,War",nm0001008,"nm0831897,nm0660923",7.0,3327.0
tt0023825,Bombshell,Bombshell,1933.0,96.0,"Comedy,Drama,Romance",nm0281808,"nm0536941,nm0299154,nm0290462,nm0186390,nm0048305,nm0469915,nm0869999",7.1,2195.0
tt0023856,Bureau of Missing Persons,Bureau of Missing Persons,1933.0,73.0,"Comedy,Crime,Drama",nm0215877,"nm0696190,nm0043786,nm0083353",6.7,1034.0
tt0023871,A Song of Lisbon,A Canção de Lisboa,1933.0,85.0,"Comedy,Musical",nm0183018,"nm0183018,nm0302040",7.7,1258.0
tt0023876,Cavalcade,Cavalcade,1933.0,112.0,"Drama,Romance,War",nm0515979,"nm0075351,nm0397022,nm0002021",5.8,4274.0
tt0023891,Christopher Strong,Christopher Strong,1933.0,78.0,"Action,Adventure,Drama",nm0002188,"nm0015399,nm0291124",6.3,1237.0
tt0023911,Counsellor at Law,Counsellor at Law,1933.0,82.0,"Comedy,Drama",nm0943758,nm0723418,7.5,1062.0
tt0023926,Dancing Lady,Dancing Lady,1933.0,92.0,"Comedy,Musical,Romance",nm0502752,"nm0729694,nm0938439,nm0068650,nm0001076,nm0070361,nm0780803",6.8,1923.0
tt0023935,The Death Kiss,The Death Kiss,1932.0,75.0,"Comedy,Crime,Drama",nm0547446,"nm0820513,nm0057456,nm0434835,nm0871166",6.0,894.0
tt0023937,Passing Fancy,Dekigokoro,1933.0,100.0,Drama,nm0654868,"nm0407456,nm0654868",7.4,1186.0
tt0023940,Design for Living,Design for Living,1933.0,91.0,"Comedy,Romance",nm0523932,"nm0002021,nm0372942,nm0388755",7.5,5385.0
tt0023943,The Devil's Brother,The Devil's Brother,1933.0,90.0,"Comedy,Musical","nm0730018,nm0736778","nm0534221,nm0780107",7.1,1681.0
tt0023948,Dinner at Eight,Dinner at Eight,1933.0,111.0,"Comedy,Drama",nm0002030,"nm0547966,nm0542534,nm0442151,nm0272209,nm0829330,nm0576046",7.6,7234.0
tt0023960,Double Harness,Double Harness,1933.0,69.0,"Comedy,Drama",nm0188669,"nm0613848,nm0599772",6.8,1021.0
tt0023969,Duck Soup,Duck Soup,1933.0,69.0,"Comedy,Musical,War",nm0564970,"nm0436095,nm0748438,nm0790654,nm0674759",7.8,53925.0
tt0023973,The Eagle and the Hawk,The Eagle and the Hawk,1933.0,73.0,"Action,Drama,War",nm0908234,"nm0589316,nm0736752,nm0766850",7.0,984.0
tt0023985,The Emperor Jones,The Emperor Jones,1933.0,72.0,"Drama,Music","nm0614225,nm0210352","nm0642156,nm0371738",6.4,797.0
tt0023986,Employees' Entrance,Employees' Entrance,1933.0,75.0,"Drama,Romance",nm0215877,"nm0696190,nm0091200",7.2,1027.0
tt0023993,Ex-Lady,Ex-Lady,1933.0,67.0,"Comedy,Drama",nm0282984,"nm0280223,nm0728307,nm0091200",6.6,1144.0
tt0024008,Female,Female,1933.0,60.0,"Comedy,Drama,Romance","nm0920074,nm0226189,nm0002031","nm0548403,nm0778636,nm0164737",6.7,1487.0
tt0024025,Flying Down to Rio,Flying Down to Rio,1933.0,89.0,"Comedy,Musical,Romance",nm0293260,"nm0401738,nm0359748,nm0312510,nm0129669,nm0110607,nm0173532,nm0276284,nm0502071,nm0629240,nm0816201,nm0857710,nm1092329",6.6,3182.0
